text,filename,stopwords,punctuation,numerics,upper
versatile potentiostat base inexpensive shelf component report platform show capable perform simple electrochemistry experiment suitable undergraduate level teach simple construction enable easy customization accommodate broad array experimental equipment calculate diffusion coefficient potassium ferricyanide aqueous solution obtain good agreement literature although simple low cost good performance device make competitive alternative teaching laboratory field electronics electrochemistry develop teach center cannot afford commercial device,060.txt,42,12,0,1
introduction family play important role patient environment complexity intensive care unit service generate situational emotional crisis immediate family cause anxiety stress objective evaluate perception relatives critical patient verbal nonverbal communication emotional support provide nursing staff hospitalization intensive care unit belong iv social level clinic cucuta city material quantitative descriptive cross sectional conduct sample consist relative data collection instrument perception relative critical patient accord nursing work situational crisis perception family favorable express positive connotation discussion relatives patient consider work nursing humanize behavior care focus valuation human holistic care give characterized behavior empathy effective communication affection touch conclusion humanize intensive care unit allow recognize family central axis assistance action collaborative family healthy family tool fight despair generate income patient critical hospitalization service,074.txt,84,27,1,2
novel hybrid compose photocatalytic fuel pfc fenton reactor develop aim degrade azo dye reactive black rb generate electricity compare previously establish bioelectrofenton microbial fuel mfc significant challenge development operation therefore pfc instead mfc generate electron fenton effect azo dye rb pfc fenton reactor investigate experimental show maximum power output achieve absence dye fenton reactor hybrid furthermore degradation efficiency rb could also observe pfc reactor hybrid elsevier bv right reserve,048.txt,40,23,2,12
einsteinaether theory violate lorentz invariance permit superluminal communication universal horizon trap excitation travel arbitrarily velocity well understand nature universal horizon first modify ray trace surface gravity charge einsteinaether black hole spacetime instead previous cropp et al show surface gravity universal horizon dependent specific dispersion relation kuh z kuhz z denote power lead term superluminal dispersion relation characterize different specie particle associate hawk temperature also different z finding coincide derive tunnel provide full understanding black hole thermodynamics lorentzviolating theory,114.txt,45,27,0,0
vigorous spread renewable energy much attention pay natural ventilation natural ventilator usually classify passive type active type iri venturi type ventilator one passive type basically operate bernoullis principle experimentally investigated evaluate ventilation characteristic accord outdoor wind velocity open area wall confirm experimental ventilation rate venturitype ventilator linearly increase ventilation rate affect intake opening area wider intake open size get ventilation rate increase furthermore new coefficient reflect pressure loss intake open mix zone venturitype ventilator introduce experimentally evaluate value beta evaluate provide simple calculation mean estimate ventilation rate venturitype ventilator geometric dimension know elsevier bv right reserve,100.txt,72,26,1,2
purpose purpose paper find uncertainty factor influence transaction cost generate identify way minimize transaction cost borne construction owner designmethodologyapproach literature indicate consensus standard definition transaction cost construction industry detail literature review research work transaction cost construction conduct order identify determinant transaction cost construction project structural equation test data collect mean survey administer construction owner find finding indicate transaction cost bear owner minimize owner minimizes uncertainty inherent construction project make sure engineering complete possible bid seek contractor harmonious relationship project participant fair risk allocation experience similar type project contractor selection practice routinely detect irregular behavior research limitationsimplications data research primarily base experience public owner market operate large representation private owner could make conclusion general another limitation relies survey opinion rather actual record cost hard data practical implication empirical ever conduct transactionrelated issue construction industry lack common understanding transaction cost paper provide groundwork originalityvalue paper attempt reconcile many determinant transaction cost construction project uncertainty consider different researcher multitude research,128.txt,111,26,0,2
several investigate cause delay project construction industry conduct worldwide investigate cause delay construction project oil gas processing facility oman serve case gulf cooperation council gcc country questionnaire data collect project manager employ different organization oil gas industry oman survey show degree agreement among perception project stakeholder client contractor consultant cause project delay evidence suggest cause project delay differ significantly accord organization size organizational ownership moreover seven factor identify major cause project delay although six identified element general factor account delay project industry one thempoor interaction vendor engineering procurement stagesis find unique construction project oil gas industry finding could value organization plan conduct construction project oil gas processing facility oman nation similar environment gcc country,129.txt,86,17,1,2
paper new type hybrid reluctance actuator present linear hybrid reluctance actuator two phase double side actuator stator compose four normalized u core coil wrap around yoke connect two arm core two coil wound arm permanent magnet place near air gap contact arm mover comprise rectangular pole without connect iron piece mechanically join nonmagnetic mounting part magnet arrange flux parallel flux create coil energize flux add total reinforced flux link stator mover current flow coil flux cross air gap flux magnet close back iron support analysis simulation motor finite element matlab simulink carry finally comparison type actuator respect linear reluctance stepper motor size show,101.txt,85,12,1,3
involvement suprafacial intrafacial oxygen specie catalytic combustion methane faceted cobalt spinel systematically examine function temperature ch conversion xch clearcut coo nanocubes uniform size synthesize hydrothermal characterize xrd r hrtem xrf tpsr cho ssitka cho technique experimental corroborate firstprinciples thermodynamic dftu molecular provide rational framework detail understanding origin different redox comportment catalyst vary temperature mechanistic implication three temperatureconversion stage methane oxidation reaction distinguish depend involvement adsorb lattice oxygen redox state catalyst stoichiometric surface region degree degree xch feature dominant suprafacial langmuirhinshelwood mechanism methane oxidation region slightly defect surface degree degree oxygen vacancy partially refill catalyst significantly reduce methane combust accord mar van krevelen scheme molecular modeling reveal suprafacial cooads adoxygen specie active delta ea ev intrafacial coosurf surface sit delta ea ev ch oxidation surface state diagram three distinguish conversion region construct elucidate catalyst thermodynamic behavior condition show activity cobalt spinel maintain redox autotuning catalyst dynamic adjustment uneven participation suprafacial intrafacial oxygen specie methane oxidation actual reaction condition factor important structural mechanistic consequence catalytic ch combustion cobalt spinel relate control sustainable versus stoichiometric turnover also prevalence coexistence langinuirhinshelwood mar van krevelen mechanisms reaction progress,115.txt,109,82,2,22
polyvinylidene fluoride pvdf nanocomposite incorporate polydopaminecoated reduced graphene oxide rgopdopa nanosheets develop dielectric permittivity low loss electricity storage application structural analysis indicate pdopa successfully anchor onto rgos noncovalent linkage mild condition presence pdopa layer rgo pvdf prevent agglomeration direct contact original rgos also enhance interaction pvdf rgo microcapacitor formation compare rgopvdf composites dielectric permittivity lower loss factor achieve simultaneously rgopdopapvdf nanocomposites low moderate frequency pdopa interface layer effective modify dielectric characteristic composite increase dielectric permittivity without introduction loss mechanism demonstrate pdopa ideal interface layer development new percolative dielectric composite dielectric permittivity low loss,049.txt,47,20,0,8
